time,q_meas,q_gear_meas ,dq_meas,q_spring_meas,tau_current,tau_sensor
0.009532,2.87631,2.8766,9.58738e-05,-0.0140934,10.0353,5.46852
0.017067,2.87631,2.8766,9.58738e-05,-0.0141893,10.0353,5.44104
0.024972,2.87631,2.8766,9.58738e-05,-0.0141893,10.0235,5.43646
0.032976,2.87631,2.8766,9.58738e-05,-0.0140934,10.0353,5.4273
0.045092,2.87631,2.8766,9.58738e-05,-0.0140934,10.0353,5.42272
0.052983,2.87631,2.8766,9.58738e-05,-0.0140934,10.0353,5.4273
0.061028,2.87631,2.8766,9.58738e-05,-0.0140934,10.0471,5.43188
0.069038,2.87631,2.8766,9.58738e-05,-0.0140934,10.0353,5.44562
0.077066,2.87631,2.8766,9.58738e-05,-0.0140934,10.0353,5.4502
0.085038,2.87631,2.8766,9.58738e-05,-0.0140934,10.0118,5.46394
0.093013,2.87631,2.8766,0,-0.0140934,10.0353,5.46394
0.101078,2.87631,2.8766,0,-0.0140934,10.0235,5.48684
0.10897,2.87631,2.8766,0,-0.0140934,10.0353,5.49142
0.116988,2.87631,2.8766,0,-0.0140934,10.0118,5.49142
0.124964,2.87631,2.8766,0,-0.0140934,10.0235,5.50058
0.133093,2.87631,2.8766,0,-0.0140934,9.55294,5.49142
0.141019,2.87631,2.8766,0,-0.0140934,9.44706,5.48684
0.148965,2.87631,2.8766,0,-0.0140934,9.45882,5.49142
0.156962,2.87631,2.8766,0,-0.0140934,9.18824,5.48684
0.165097,2.87631,2.8766,0,-0.0141893,9.15294,5.496
0.173115,2.87631,2.8766,0,-0.0140934,9.15294,5.49142
0.181001,2.87631,2.8766,0,-0.0140934,9.16471,5.496
0.188973,2.87631,2.8766,0,-0.0141893,8.94118,5.496
0.19704,2.87631,2.8766,0,-0.0140934,8.88235,5.49142
0.204967,2.87631,2.8766,0,-0.0140934,8.85882,5.50516
0.212963,2.87631,2.8766,0,-0.0140934,8.85882,5.496
0.220977,2.87631,2.8766,0,-0.0140934,8.89412,5.48684
0.229039,2.87631,2.8766,0,-0.0140934,8.88235,5.48684
0.236982,2.87631,2.8766,0,-0.0140934,8.61176,5.47768
0.244976,2.87631,2.8766,0,-0.0140934,8.35294,5.48226
0.252971,2.87631,2.8766,0,-0.0140934,8.30588,5.48226
0.261043,2.87631,2.8766,0,-0.0140934,8.30588,5.47768
