time,tau_ref_traj,t_ld ,q_gear_meas,dq_meas,q_spring_meas,tau_sensor,rt_current,current_lpf,tau_mod
0.446494,-9.93737,0,-0.664789,0.00517718,0.0282828,-12.9293,-10.5529,0,-11.5139
0.45511,-9.93569,0,-0.664789,0.00488956,0.0282828,-12.9202,-10.5647,0,-11.5139
0.463669,-9.93395,0,-0.664789,0.00460194,0.0282828,-12.8881,-8.62353,0,-11.5139
0.472561,-9.93214,0,-0.664789,0.00421845,0.0281869,-12.8744,-10.8471,0,-11.5139
0.480554,-9.93048,0,-0.664789,0.00412257,0.0281869,-12.9156,-12.3176,0,-11.5139
0.48884,-9.9288,0,-0.664789,0.00412257,0.0281869,-12.9477,-12.3882,0,-11.5139
0.497707,-9.92691,0,-0.664789,0.00383495,0.0281869,-12.9568,-11.5647,0,-11.5139
0.506668,-9.92498,0,-0.664789,0.00354733,0.0281869,-12.9477,-9.71765,0,-11.5139
0.515657,-9.92304,0,-0.664693,0.00469782,0.0281869,-12.9339,-10.6706,0,-11.5125
0.524739,-9.92104,0,-0.664693,0.00460194,0.0282828,-12.9751,-11.0824,0,-11.5125
0.533663,-9.91904,0,-0.664693,0.00460194,0.0282828,-12.998,-10.4941,0,-11.5125
0.541679,-9.91724,0,-0.664693,0.0040267,0.0282828,-12.9935,-10.1529,0,-11.5125
0.54981,-9.9154,0,-0.664693,0.00383495,0.0282828,-13.0118,-10.4824,0,-11.5125
0.55871,-9.91334,0,-0.664693,0.0036432,0.0282828,-13.0255,-10.8471,0,-11.5125
0.566636,-9.91148,0,-0.664693,0.00345146,0.0282828,-13.0301,-11.1059,0,-11.5125
0.574569,-9.90958,0,-0.664693,0.00345146,0.0282828,-13.0255,-11.5882,0,-11.5125
0.582759,-9.90768,0,-0.664693,0.00316384,0.0282828,-13.0209,-11.7412,0,-11.5125
0.591675,-9.90552,0,-0.664693,0.00297209,0.0282828,-13.0118,-11.9294,0,-11.5125
0.599601,-9.90356,0,-0.664693,0.00278034,0.0282828,-13.0026,-12.0941,0,-11.5125
0.608029,-9.90158,0,-0.664693,0.00258859,0.0282828,-12.9843,-12.2235,0,-11.5125
0.616564,-9.89938,0,-0.664693,0.00258859,0.0282828,-12.9751,-12.4471,0,-11.5125
0.624558,-9.89737,0,-0.664693,0.00249272,0.0282828,-12.9706,-12.5529,0,-11.5125
0.632719,-9.89534,0,-0.664693,0.0022051,0.0282828,-12.9431,-12.5765,0,-11.5125
0.641695,-9.89302,0,-0.664693,0.0022051,0.0282828,-12.9156,-8.74118,0,-11.5125
0.650464,-9.89072,0,-0.664597,0.00632767,0.0281869,-12.8377,-10.7294,0,-11.5111
0.658589,-9.88862,0,-0.664597,0.00642354,0.0281869,-12.8561,-11.0824,0,-11.5111
0.668261,-9.88616,0,-0.664597,0.0062318,0.0281869,-12.8835,-12.0471,0,-11.5111
0.676558,-9.88383,0,-0.664597,0.00546481,0.0281869,-12.9339,-12.9882,0,-11.5111
0.684538,-9.88169,0,-0.664597,0.00431432,0.0282828,-12.966,-9.78824,0,-11.5111
0.692547,-9.87951,0,-0.664597,0.00565655,0.0281869,-12.9156,-9.10588,0,-11.5111
0.70085,-9.87729,0,-0.664501,0.00843689,0.0281869,-12.879,-11,0,-11.5097
0.709618,-9.8748,0,-0.664405,0.00747816,0.0281869,-12.8927,-11.0824,0,-11.5083
0.717497,-9.87259,0,-0.664501,0.00690291,0.0282828,-12.9202,-10.5765,0,-11.5097
0.725544,-9.87033,0,-0.664405,0.00594418,0.0281869,-12.9614,-12.7765,0,-11.5083
