time,q_meas,q_gear_meas ,dq_meas,q_spring_meas,tau_current,tau_sensor
0.00802,2.87708,2.87736,0.000287621,-0.0132306,8.30588,4.4655
0.016106,2.87708,2.87746,0.000287621,-0.0132306,8.30588,4.47924
0.024025,2.87708,2.87736,0.000191748,-0.0132306,8.29412,4.4655
0.031993,2.87708,2.87736,0.000191748,-0.0132306,8.30588,4.48382
0.040819,2.87708,2.87746,0.000191748,-0.0132306,8.30588,4.47008
0.048072,2.87708,2.87746,0.000191748,-0.0132306,8.30588,4.48382
0.056002,2.87708,2.87746,0.000191748,-0.0132306,8.30588,4.4884
0.063994,2.87708,2.87746,0.000191748,-0.0132306,8.30588,4.49756
0.072067,2.87708,2.87746,0.000191748,-0.0132306,8.30588,4.51588
0.080039,2.87708,2.87746,0.000191748,-0.0133265,8.29412,4.50672
0.088014,2.87708,2.87746,9.58738e-05,-0.0133265,8.30588,4.50672
0.096141,2.87708,2.87746,9.58738e-05,-0.0132306,8.30588,4.5113
0.10425,2.87708,2.87746,9.58738e-05,-0.0132306,8.30588,4.49756
0.112131,2.87708,2.87746,9.58738e-05,-0.0132306,8.32941,4.49756
0.120003,2.87708,2.87746,9.58738e-05,-0.0132306,8.30588,4.50214
0.128182,2.87708,2.87736,9.58738e-05,-0.0132306,8.30588,4.49298
0.136145,2.87708,2.87746,9.58738e-05,-0.0132306,8.28235,4.49756
0.144096,2.87708,2.87746,9.58738e-05,-0.0132306,8.30588,4.49756
0.151995,2.87708,2.87746,9.58738e-05,-0.0132306,8.29412,4.49298
0.159997,2.87708,2.87736,9.58738e-05,-0.0132306,8.28235,4.49298
0.168077,2.87708,2.87736,9.58738e-05,-0.0132306,8.30588,4.49298
0.176003,2.87708,2.87746,9.58738e-05,-0.0132306,8.30588,4.49298
0.184,2.87708,2.87746,9.58738e-05,-0.0132306,8.30588,4.49756
0.192004,2.87708,2.87746,9.58738e-05,-0.0132306,7.78824,4.49298
0.200074,2.87708,2.87736,0,-0.0132306,7.52941,4.49298
0.208007,2.87708,2.87746,0,-0.0132306,7.47059,4.48382
0.216003,2.87708,2.87736,0,-0.0132306,7.21176,4.48382
0.224002,2.87708,2.87736,0,-0.0132306,7.2,4.47924
0.232062,2.87708,2.87736,0,-0.0132306,6.95294,4.47466
0.240107,2.87708,2.87746,0,-0.0132306,6.92941,4.47466
0.248,2.87708,2.87746,0,-0.0132306,6.95294,4.47466
0.256924,2.87708,2.87746,0,-0.0132306,6.97647,4.47466
0.264089,2.87708,2.87736,0,-0.0132306,6.75294,4.47466
0.272,2.87708,2.87746,0,-0.0132306,6.68235,4.47466
0.279995,2.87708,2.87736,0,-0.0132306,6.69412,4.47924
0.288222,2.87708,2.87746,0,-0.0132306,6.68235,4.49756
