time,q_meas,q_gear_meas ,dq_meas,q_spring_meas,tau_current,tau_sensor
0.007967,2.87631,2.87669,0.000287621,-0.0132306,7.83529,4.48382
0.015897,2.87631,2.87669,0.000191748,-0.0133265,7.83529,4.48382
0.023893,2.87631,2.87669,0.000191748,-0.0132306,7.82353,4.47924
0.032995,2.87631,2.87669,0.000191748,-0.0132306,7.78824,4.47466
0.040895,2.87631,2.87669,0.000191748,-0.0132306,7.82353,4.47466
0.048897,2.87631,2.87669,0.000191748,-0.0132306,7.77647,4.47466
0.056896,2.87631,2.87669,0.000191748,-0.0132306,7.83529,4.49298
0.064982,2.87631,2.87669,0.000191748,-0.0132306,7.82353,4.50214
0.072894,2.87631,2.87669,0.000191748,-0.0132306,7.78824,4.5113
0.080894,2.87631,2.87669,9.58738e-05,-0.0132306,7.82353,4.52504
0.090349,2.87631,2.87669,9.58738e-05,-0.0133265,7.83529,4.52504
0.097987,2.87631,2.87669,9.58738e-05,-0.0132306,7.57647,3.53118
0.1059,2.87631,2.87669,9.58738e-05,-0.0133265,7.54118,4.52504
0.113892,2.87631,2.87669,9.58738e-05,-0.0132306,7.25882,4.52046
0.122014,2.87631,2.87669,9.58738e-05,-0.0132306,6.63529,4.50672
0.129934,2.87631,2.87669,9.58738e-05,-0.0132306,6.37647,4.4884
0.137894,2.87631,2.87669,9.58738e-05,-0.0132306,6.17647,4.50214
0.145892,2.87631,2.87669,9.58738e-05,-0.0132306,6.14118,4.50672
0.153982,2.87631,2.87669,9.58738e-05,-0.0132306,5.8,4.49756
0.161912,2.87631,2.87669,-9.58738e-05,-0.0132306,5.48235,4.48382
0.169893,2.87631,2.87669,-0.000671117,-0.0132306,5.32941,4.47924
0.177889,2.87631,2.8766,-0.00115049,-0.0132306,5.16471,4.47008
0.186048,2.87621,2.8766,-0.0150522,-0.0131347,4.31765,4.36016
0.193989,2.87602,2.87641,-0.0223386,-0.0130388,4.17647,4.27314
0.201896,2.87583,2.87621,-0.0208046,-0.012943,3.90588,4.22276
0.209893,2.87564,2.87612,-0.0191748,-0.0128471,3.57647,4.19528
0.218002,2.87554,2.87593,-0.0190789,-0.0128471,3.42353,4.19986
0.225894,2.87535,2.87573,-0.0208046,-0.0127512,2.90588,4.19986
0.233892,2.87526,2.87564,-0.0176408,-0.0127512,2.49412,4.22734
0.241891,2.87506,2.87545,-0.0157233,-0.0127512,2.30588,4.27314
0.249958,2.87497,2.87535,-0.0149563,-0.0127512,2.41176,4.30062
0.2579,2.87487,2.87526,-0.0155316,-0.0127512,2.58824,4.31436
0.265957,2.87478,2.87506,-0.0167779,-0.0127512,2.61176,4.31436
0.273993,2.87458,2.87497,-0.0204211,-0.0127512,2.55294,4.29146
0.281956,2.87439,2.87478,-0.0291456,-0.0126553,-0.0588235,4.19528
0.289968,2.87391,2.87439,-0.0580995,-0.0124636,1.67059,4.02124
0.297929,2.87343,2.87391,-0.0696044,-0.012176,1.77647,3.8472
0.307478,2.87286,2.87334,-0.0655777,-0.0118884,1.03529,3.76018
0.314917,2.87238,2.87276,-0.0562779,-0.0116966,0.988235,3.7785
0.322932,2.8719,2.87238,-0.0579078,-0.0116966,2.27059,3.84262
0.331047,2.87142,2.8718,-0.058483,-0.0116007,2.85882,3.94338
0.339079,2.87094,2.87132,-0.0656736,-0.0116007,3,4.06246
0.34698,2.87046,2.87085,-0.0552233,-0.0116007,2.37647,4.21818
0.35489,2.86998,2.87037,-0.058483,-0.0116966,2.10588,4.36474
0.362896,2.8696,2.86989,-0.0517719,-0.0116966,1.78824,4.50214
0.370947,2.86912,2.86941,-0.0595376,-0.0116966,2.41176,4.55252
0.378892,2.86864,2.86893,-0.0605922,-0.0116966,2.55294,4.54336
0.386883,2.86816,2.86835,-0.067591,-0.0116007,2.47059,4.44718
0.394957,2.86768,2.86787,-0.0537852,-0.0116007,0.694118,4.40596
0.402951,2.86739,2.86749,-0.0324053,-0.0116007,2.4,4.52504
0.410892,2.8673,2.8673,-0.0210922,-0.0116007,1.84706,4.66244
0.418885,2.86711,2.86711,-0.0185036,-0.0116966,2.08235,4.7403
0.428124,2.86691,2.86701,-0.0203252,-0.0116966,2.24706,4.75404
0.434961,2.86682,2.86682,-0.0230097,-0.0116966,2.48235,4.66702
0.442884,2.86653,2.86653,-0.0408422,-0.0116007,1.68235,4.43802
0.450896,2.86605,2.86624,-0.0591541,-0.011409,2.87059,4.12658
0.459777,2.86557,2.86576,-0.0629891,-0.0111214,3.18824,3.90216
0.466962,2.86519,2.86528,-0.0551274,-0.0109296,1.68235,3.79682
0.474888,2.86471,2.8649,-0.0517719,-0.0108337,0.823529,3.79682
0.482896,2.86433,2.86442,-0.0536893,-0.0107379,0.870588,3.83346
0.490998,2.86385,2.86394,-0.063085,-0.010642,2.12941,3.86552
0.498959,2.86337,2.86346,-0.0652901,-0.010642,1.67059,3.9388
0.506983,2.86279,2.86289,-0.0684539,-0.010642,2.28235,3.53118
0.514886,2.86231,2.86241,-0.0604005,-0.0107379,1.15294,4.1907
0.523048,2.86193,2.86193,-0.0472658,-0.0108337,0.741176,4.44718
0.53089,2.86155,2.86155,-0.0536893,-0.0110255,0.505882,4.63038
0.538886,2.86107,2.86107,-0.0619345,-0.0111214,3.32941,4.71282
0.546895,2.86059,2.86059,-0.0604005,-0.0111214,2.61176,4.6945
0.55497,2.86011,2.8602,-0.0578119,-0.0111214,2.78824,4.62122
0.562895,2.85963,2.85972,-0.0551274,-0.0111214,5.42353,4.56168
0.570891,2.85944,2.85944,-0.0278034,-0.0111214,2.15294,4.6487
0.578889,2.85934,2.85934,-0.017449,-0.0112172,1.72941,4.76778
0.586991,2.85924,2.85924,-0.0148604,-0.0113131,1.78824,2.35412
0.594887,2.85905,2.85905,-0.0146687,-0.011409,1.84706,4.7861
0.602978,2.85896,2.85896,-0.0165862,-0.011409,2.11765,4.71282
0.611019,2.85876,2.85886,-0.0213799,-0.0113131,2.65882,4.56168
0.619016,2.85857,2.85867,-0.0230097,-0.0111214,2.83529,4.42428
0.626888,2.85829,2.85848,-0.0495668,-0.0110255,1.95294,4.14032
0.634892,2.85781,2.858,-0.0640437,-0.0108337,2,3.87468
0.643366,2.85742,2.85761,-0.0535935,-0.010642,1.2,3.77392
0.650956,2.85694,2.85723,-0.0521553,-0.010642,0.611765,3.78766
0.658891,2.85656,2.85685,-0.047074,-0.010642,0.258824,3.90216
0.666895,2.85618,2.85656,-0.0510049,-0.0107379,1.51765,4.08994
0.675025,2.85579,2.85608,-0.0523471,-0.0108337,2.64706,4.27314
0.683002,2.85531,2.8557,-0.0637561,-0.0109296,3,4.41512
0.690893,2.85483,2.85512,-0.0580995,-0.0110255,3.04706,4.56168
0.69889,2.85435,2.85474,-0.0580995,-0.0111214,1.97647,4.68534
0.707013,2.85397,2.85426,-0.0520595,-0.0112172,1.63529,4.77694
0.714961,2.85349,2.85388,-0.0583871,-0.0112172,1.95294,4.79068
0.722899,2.85311,2.8534,-0.0557986,-0.0113131,2.04706,4.75404
0.730891,2.85263,2.85292,-0.0664405,-0.0112172,3,4.58458
0.738957,2.85215,2.85244,-0.0585789,-0.0111214,1.42353,4.4426
0.746899,2.85167,2.85196,-0.0558944,-0.0110255,1.14118,4.3281
0.754893,2.85129,2.85157,-0.050142,-0.0109296,0.447059,4.27772
0.762896,2.85081,2.8511,-0.056949,-0.0109296,4.04706,4.25482
0.770982,2.85052,2.85071,-0.0461153,-0.0109296,1.65882,4.30978
0.778891,2.85004,2.85033,-0.0572367,-0.0109296,2.70588,4.3281
0.786893,2.84966,2.84985,-0.0586748,-0.0108337,2.8,4.33726
0.79489,2.84918,2.84937,-0.0579078,-0.0109296,1.95294,4.36932
0.802942,2.8487,2.84899,-0.0548398,-0.0109296,1.05882,4.42886
0.810892,2.84822,2.84851,-0.075932,-0.0108337,1.50588,4.36016
0.818889,2.84755,2.84784,-0.0959697,-0.0108337,-0.588235,4.2365
0.827108,2.84668,2.84707,-0.106036,-0.0107379,-1.05882,4.12658
0.834961,2.84611,2.84649,-0.107187,-0.010642,0.117647,4.03956
0.842885,2.84496,2.84534,-0.137867,-0.0104502,-0.105882,3.94338
0.851129,2.84381,2.84419,-0.150714,-0.0102585,0.294118,3.88384
