time,q_meas,q_gear_meas ,dq_meas,q_spring_meas,tau_current,tau_sensor
0.007948,2.87689,2.87727,0.000191748,-0.012176,7.49412,3.8472
0.01593,2.87689,2.87736,0.000191748,-0.012176,7.45882,3.86094
0.02441,2.87689,2.87727,0.000191748,-0.012176,7.49412,3.85636
0.031992,2.87689,2.87736,0.000191748,-0.012176,7.47059,3.86094
0.039928,2.87689,2.87736,0.000191748,-0.012176,7.49412,3.86552
0.047925,2.87689,2.87727,0.000191748,-0.012176,7.47059,3.86552
0.05605,2.87689,2.87727,0.000191748,-0.012176,7.48235,3.8701
0.063975,2.87689,2.87727,9.58738e-05,-0.012176,7.47059,3.86094
0.072024,2.87689,2.87727,9.58738e-05,-0.012176,7.48235,3.86552
0.079996,2.87689,2.87727,9.58738e-05,-0.012176,7.48235,3.8701
0.087987,2.87689,2.87727,9.58738e-05,-0.012176,7.47059,3.86094
0.095921,2.87689,2.87727,9.58738e-05,-0.0120801,6.74118,3.86094
0.104006,2.87689,2.87727,9.58738e-05,-0.012176,6.45882,3.85178
0.111928,2.87689,2.87727,9.58738e-05,-0.0120801,6.28235,3.86094
0.119997,2.87689,2.87727,9.58738e-05,-0.012176,6.23529,3.8472
0.128008,2.87689,2.87736,9.58738e-05,-0.012176,6.05882,3.8472
0.135928,2.87689,2.87727,9.58738e-05,-0.0120801,6.03529,3.85178
0.143947,2.87689,2.87727,9.58738e-05,-0.0120801,5.42353,3.8472
0.152003,2.87689,2.87727,9.58738e-05,-0.012176,4.96471,3.8472
0.159921,2.87689,2.87727,0,-0.0120801,4.85882,3.85636
0.167922,2.87689,2.87727,0,-0.012176,4.84706,3.86552
0.176026,2.87689,2.87727,-0.000671117,-0.012176,3,3.79682
0.18404,2.87669,2.87717,-0.0139017,-0.0120801,3.14118,3.71438
0.191932,2.8766,2.87708,-0.0148604,-0.0119842,2.90588,3.67774
0.199963,2.8765,2.87698,-0.0146687,-0.0118884,2.84706,3.65026
0.208111,2.87641,2.87679,-0.0164903,-0.0118884,3.15294,3.6411
0.216138,2.87621,2.87669,-0.0198459,-0.0117925,3.57647,3.6182
0.223971,2.87602,2.8765,-0.0188871,-0.0117925,3.51765,3.6182
0.231928,2.87593,2.87641,-0.0173532,-0.0116966,3.24706,3.63194
0.240025,2.87583,2.87621,-0.0162985,-0.0116966,3.11765,3.64568
0.248004,2.87564,2.87612,-0.0153398,-0.0116966,2.87059,3.65484
0.25593,2.87554,2.87602,-0.0155316,-0.0116966,2.56471,3.65942
0.263929,2.87545,2.87583,-0.0187913,-0.0116966,2.12941,3.63194
0.272055,2.87526,2.87573,-0.0172573,-0.0116007,0.129412,3.6411
