time,q_meas,q_gear_meas ,dq_meas,q_spring_meas,tau_current,tau_sensor
0.008094,2.87717,2.87746,0.000287621,-0.0143811,9.16471,4.88686
0.015991,2.87717,2.87746,0.000191748,-0.0143811,9.14118,4.88686
0.024041,2.87717,2.87756,0.000191748,-0.0143811,9.14118,4.88686
0.032015,2.87717,2.87746,0.000191748,-0.0143811,9.15294,4.89144
0.040066,2.87717,2.87756,0.000191748,-0.0143811,9.16471,4.88686
0.048069,2.87717,2.87746,0.000191748,-0.0143811,9.15294,4.9006
0.055989,2.87717,2.87746,0.000191748,-0.0143811,9.15294,4.90518
0.064364,2.87717,2.87746,0.000191748,-0.0143811,9.17647,4.9006
0.072068,2.87717,2.87746,0.000191748,-0.0143811,9.18824,4.89602
0.079994,2.87717,2.87746,9.58738e-05,-0.0143811,9.18824,4.89602
0.08799,2.87717,2.87746,9.58738e-05,-0.0143811,9.2,4.89602
0.096078,2.87717,2.87756,9.58738e-05,-0.0143811,9.18824,4.90518
0.104008,2.87717,2.87746,9.58738e-05,-0.0143811,9.17647,4.90518
0.111988,2.87717,2.87746,9.58738e-05,-0.0143811,9.18824,4.89602
0.119985,2.87717,2.87746,9.58738e-05,-0.0143811,9.18824,4.90518
0.128083,2.87717,2.87756,9.58738e-05,-0.0143811,9.17647,4.90976
0.13599,2.87717,2.87756,9.58738e-05,-0.0143811,9.17647,4.91892
0.143986,2.87717,2.87746,9.58738e-05,-0.0143811,8.89412,4.91892
0.151985,2.87717,2.87756,9.58738e-05,-0.0143811,8.88235,4.91434
0.16005,2.87717,2.87746,9.58738e-05,-0.0143811,8.6,4.90976
0.167988,2.87717,2.87746,9.58738e-05,-0.0143811,8.62353,4.91892
0.175986,2.87717,2.87746,9.58738e-05,-0.0143811,8.62353,4.91892
0.18399,2.87717,2.87746,0,-0.0143811,8.6,4.90976
0.192052,2.87717,2.87746,0,-0.0143811,8.36471,4.90518
0.199988,2.87717,2.87746,0,-0.0143811,8.30588,4.91434
0.207986,2.87717,2.87746,0,-0.0142852,8.30588,4.91434
0.215985,2.87717,2.87756,0,-0.0143811,8.34118,4.90976
0.224044,2.87717,2.87746,0,-0.0143811,7.89412,4.90976
0.231987,2.87717,2.87746,0,-0.0143811,7.56471,4.89144
0.239986,2.87717,2.87756,0,-0.0143811,7.31765,4.9006
0.24885,2.87717,2.87746,0,-0.0142852,7.21176,4.89602
0.25604,2.87717,2.87756,0,-0.0143811,7.01176,4.89144
0.263992,2.87717,2.87746,0,-0.0142852,6.96471,4.89144
0.271988,2.87717,2.87746,0,-0.0143811,6.77647,4.89144
0.280109,2.87717,2.87746,0,-0.0143811,6.69412,4.89144
0.288033,2.87717,2.87746,0,-0.0143811,6.71765,4.89602
0.295988,2.87717,2.87746,0,-0.0142852,6.68235,4.89144
0.303987,2.87717,2.87746,0,-0.0142852,6.55294,4.9006
0.312138,2.87717,2.87746,0,-0.0142852,6.48235,4.90518
0.319989,2.87717,2.87746,0,-0.0142852,6.45882,4.90518
0.327986,2.87717,2.87746,0,-0.0142852,6.45882,4.90518
0.335986,2.87717,2.87746,0,-0.0142852,6.43529,4.91434
0.344049,2.87717,2.87746,0,-0.0142852,6.43529,4.91434
0.351988,2.87717,2.87746,0,-0.0142852,6.30588,4.90976
0.35999,2.87717,2.87756,0,-0.0142852,6.27059,4.90518
0.36799,2.87717,2.87746,0,-0.0142852,6.11765,4.89602
0.376052,2.87717,2.87746,0,-0.0142852,5.71765,4.89602
0.383994,2.87717,2.87746,-9.58738e-05,-0.0142852,5.54118,4.87312
0.391986,2.87717,2.87746,-0.000383495,-0.0142852,5.30588,4.87312
0.399986,2.87717,2.87746,-0.000575243,-0.0142852,5.25882,4.87312
0.408049,2.87717,2.87746,-0.000862864,-0.0142852,5.08235,4.87312
0.415989,2.87708,2.87746,-0.00105461,-0.0142852,4.98824,4.87312
0.423985,2.87708,2.87736,-0.00115049,-0.0142852,4.95294,4.87312
0.432579,2.87708,2.87746,-0.00124636,-0.0142852,4.90588,4.86854
0.440081,2.87708,2.87736,-0.00124636,-0.0142852,4.90588,4.87312
0.447989,2.87698,2.87736,-0.00872452,-0.0142852,3.87059,4.78152
0.455986,2.87689,2.87717,-0.0196541,-0.0140934,3.87059,4.70824
0.464106,2.87669,2.87708,-0.0187913,-0.0139976,3.6,4.6487
0.472045,2.8766,2.87689,-0.0184078,-0.0139976,3.49412,4.59374
0.479989,2.87641,2.87679,-0.0198459,-0.0139017,3.72941,4.56626
0.487986,2.87621,2.8766,-0.0252148,-0.0138058,4.47059,4.52504
0.496141,2.87602,2.87641,-0.0233932,-0.01371,4.27059,4.5113
0.50399,2.87583,2.87621,-0.0209964,-0.01371,4.01176,4.53878
0.511989,2.87573,2.87612,-0.0199418,-0.01371,3.77647,4.58458
0.519985,2.87554,2.87593,-0.0202294,-0.01371,3.65882,4.63038
0.528061,2.87535,2.87573,-0.0218592,-0.01371,3.11765,4.67618
0.53599,2.87526,2.87554,-0.0188871,-0.01371,2.74118,4.73114
0.543985,2.87506,2.87545,-0.0168738,-0.01371,2.54118,4.78152
0.551985,2.87497,2.87526,-0.0164903,-0.01371,2.72941,4.8319
0.560052,2.87478,2.87516,-0.0177367,-0.01371,2.84706,4.84106
0.568071,2.87468,2.87497,-0.0201335,-0.01371,3.02353,4.82732
0.57598,2.87449,2.87487,-0.0225303,-0.01371,3.32941,4.78152
0.584125,2.8743,2.87468,-0.0209005,-0.0136141,3.23529,4.75404
0.592098,2.8741,2.87449,-0.0198459,-0.0136141,3.17647,4.73572
0.600053,2.87401,2.8743,-0.0198459,-0.0135182,3.2,4.69908
0.607982,2.87382,2.8742,-0.0201335,-0.0135182,3.04706,4.68534
0.615982,2.87363,2.87401,-0.022051,-0.0134223,2.88235,4.67618
0.625061,2.87353,2.87382,-0.0209964,-0.0134223,2.37647,4.66702
0.632981,2.87334,2.87363,-0.0196541,-0.0134223,2.90588,4.66702
0.641047,2.87315,2.87343,-0.0193665,-0.0133265,2.91765,4.68534
0.649022,2.87305,2.87334,-0.018983,-0.0133265,2.62353,4.70824
0.657095,2.87286,2.87315,-0.0191748,-0.0133265,2.12941,4.70824
0.664988,2.87267,2.87305,-0.0195583,-0.0133265,2.47059,4.72198
0.672985,2.87257,2.87286,-0.017449,-0.0133265,2.28235,4.73114
0.681056,2.87247,2.87267,-0.0156274,-0.0132306,2.24706,4.74946
0.688988,2.87228,2.87257,-0.0157233,-0.0132306,2.25882,4.74946
0.696986,2.87219,2.87247,-0.0163944,-0.0132306,2.24706,4.74488
0.704985,2.87209,2.87228,-0.0169697,-0.0132306,2.42353,4.72198
0.713053,2.8719,2.87219,-0.0214757,-0.0131347,3.89412,4.66244
0.721,2.87171,2.872,-0.0208046,-0.0130388,3.74118,4.64412
0.728985,2.87161,2.8718,-0.0185036,-0.0130388,3.50588,4.6258
0.736986,2.87142,2.87171,-0.0185995,-0.0130388,3.65882,4.60748
0.745048,2.87123,2.87152,-0.0196541,-0.0130388,3.72941,4.59832
0.752994,2.87113,2.87132,-0.0214757,-0.012943,3.6,4.57084
