time,q_meas,q_gear_meas ,dq_meas,q_spring_meas,tau_current,tau_sensor
0.007982,2.87717,2.87756,0.000383495,-0.0120801,8.03529,3.81056
0.01596,2.87717,2.87756,0.000383495,-0.0120801,8.04706,3.81514
0.024066,2.87717,2.87756,0.000287621,-0.0120801,8.03529,3.8243
0.03205,2.87717,2.87756,0.000287621,-0.0120801,8.08235,3.83346
0.039961,2.87717,2.87756,0.000287621,-0.0120801,8.03529,3.83346
0.047959,2.87717,2.87756,0.000287621,-0.0120801,8.03529,3.83804
0.056068,2.87717,2.87756,0.000287621,-0.0120801,8.03529,3.83804
0.064039,2.87717,2.87756,0.000287621,-0.0120801,8.08235,3.84262
0.07196,2.87717,2.87756,0.000287621,-0.0120801,8.08235,3.84262
0.079977,2.87717,2.87756,0.000191748,-0.0120801,8.08235,3.85636
0.08803,2.87717,2.87756,0.000191748,-0.0120801,8.08235,3.85178
0.095967,2.87717,2.87756,0.000191748,-0.0120801,8.04706,3.85178
0.103965,2.87717,2.87756,0.000191748,-0.0120801,8.02353,3.84262
0.111959,2.87717,2.87756,0.000191748,-0.0120801,8.04706,3.84262
0.120034,2.87717,2.87756,0.000191748,-0.0120801,8.04706,3.83804
0.127975,2.87717,2.87756,0.000191748,-0.0120801,8.04706,3.8472
0.135968,2.87717,2.87756,9.58738e-05,-0.0120801,7.75294,3.84262
0.145537,2.87717,2.87756,9.58738e-05,-0.0120801,7.48235,3.84262
0.153009,2.87717,2.87756,9.58738e-05,-0.0120801,7.51765,3.83346
0.160962,2.87717,2.87756,9.58738e-05,-0.0120801,7.22353,3.83804
0.168958,2.87717,2.87756,9.58738e-05,-0.0120801,7.24706,3.82888
0.177076,2.87717,2.87756,9.58738e-05,-0.0120801,7.22353,3.83804
0.185002,2.87717,2.87756,9.58738e-05,-0.0120801,7.23529,3.82888
0.192969,2.87717,2.87756,9.58738e-05,-0.0120801,7.01176,3.8243
0.200966,2.87717,2.87756,9.58738e-05,-0.0120801,6.95294,3.82888
0.209062,2.87717,2.87756,9.58738e-05,-0.0120801,6.96471,3.83346
0.216969,2.87717,2.87756,9.58738e-05,-0.0120801,6.95294,3.8243
0.224971,2.87717,2.87756,9.58738e-05,-0.0120801,6.96471,3.83346
0.232966,2.87717,2.87756,9.58738e-05,-0.0120801,6.81176,3.82888
0.241032,2.87717,2.87756,9.58738e-05,-0.0120801,6.58824,3.82888
0.24897,2.87717,2.87756,0,-0.0120801,6.45882,3.82888
0.256965,2.87717,2.87756,0,-0.0120801,6.44706,3.82888
0.264982,2.87717,2.87756,0,-0.0120801,6.23529,3.83346
0.273046,2.87717,2.87756,0,-0.0120801,6.23529,3.82888
0.280969,2.87717,2.87756,0,-0.0120801,6.23529,3.83346
0.288967,2.87717,2.87756,0,-0.0119842,6.08235,3.83346
0.296965,2.87717,2.87756,0,-0.0120801,6.04706,3.82888
0.305027,2.87717,2.87756,0,-0.0120801,5.67059,3.83346
0.312968,2.87717,2.87756,0,-0.0120801,5.42353,3.82888
0.320964,2.87717,2.87756,0,-0.0120801,5.17647,3.8243
0.329467,2.87717,2.87756,0,-0.0120801,5.12941,3.83346
0.337021,2.87717,2.87756,0,-0.0120801,4.95294,3.83346
0.344968,2.87717,2.87756,0,-0.0120801,4.84706,3.82888
0.352965,2.87717,2.87756,0,-0.0119842,4.82353,3.83346
0.361086,2.87717,2.87756,0,-0.0120801,4.81176,3.83346
0.369019,2.87717,2.87756,0,-0.0120801,4.81176,3.83346
0.376967,2.87717,2.87756,0,-0.0120801,3.11765,3.81972
0.384965,2.87708,2.87756,-0.012176,-0.0119842,3.55294,3.71896
0.393051,2.87689,2.87736,-0.0170655,-0.0118884,3.27059,3.63652
0.400988,2.87679,2.87727,-0.0153398,-0.0118884,2.83529,3.62736
0.408967,2.87669,2.87717,-0.0142852,-0.0117925,2.76471,3.62278
0.416965,2.8766,2.87708,-0.01371,-0.0117925,2.69412,3.62736
0.425066,2.8765,2.87689,-0.0139017,-0.0116966,2.81176,3.63652
0.432988,2.87631,2.87679,-0.0165862,-0.0116966,2.87059,2.35412
0.440972,2.87621,2.87669,-0.0195583,-0.0116966,3.61176,3.5953
0.448967,2.87602,2.8765,-0.0186954,-0.0116007,3.48235,3.5953
0.457034,2.87593,2.87631,-0.0170655,-0.0116007,3.23529,3.60446
0.46497,2.87573,2.87621,-0.0162027,-0.0115049,3.09412,3.61362
0.472966,2.87564,2.87612,-0.0153398,-0.0116007,2.83529,3.6182
0.480965,2.87554,2.87593,-0.0154357,-0.0115049,2.77647,3.63194
0.489025,2.87545,2.87583,-0.0163944,-0.0115049,2.24706,3.61362
0.496967,2.87526,2.87573,-0.0144769,-0.0115049,1.94118,3.61362
0.504969,2.87516,2.87564,-0.0131347,-0.0115049,1.82353,3.63194
0.512965,2.87506,2.87554,-0.0119842,-0.0115049,1.63529,3.6411
0.521023,2.87497,2.87545,-0.0115049,-0.0115049,1.74118,3.64568
0.528974,2.87487,2.87535,-0.0118884,-0.011409,1.91765,3.64568
0.536965,2.87478,2.87526,-0.0126553,-0.011409,1.92941,3.63194
0.545474,2.87468,2.87516,-0.0136141,-0.011409,2.08235,3.5953
0.55306,2.87458,2.87506,-0.0152439,-0.0113131,2.30588,3.57698
0.560969,2.87449,2.87487,-0.0156274,-0.0113131,2.2,3.57698
0.568965,2.8743,2.87478,-0.0148604,-0.0112172,2.28235,3.56782
0.577086,2.8742,2.87468,-0.0147646,-0.0112172,2.25882,3.57698
