time,q_meas,q_gear_meas ,dq_meas,q_spring_meas,tau_current,tau_sensor
0.008001,2.87631,2.8766,0.000191748,-0.0162985,10.6471,5.7021
0.016036,2.87631,2.8766,0.000191748,-0.0162985,10.6471,5.70668
0.023986,2.87631,2.8766,9.58738e-05,-0.0162985,10.6471,5.71126
0.031984,2.87631,2.8766,9.58738e-05,-0.0162985,10.6588,5.72042
0.039982,2.87631,2.8766,9.58738e-05,-0.0162985,10.6235,5.73416
0.048058,2.87631,2.8766,9.58738e-05,-0.0162985,10.6706,5.7479
0.055986,2.87631,2.8766,9.58738e-05,-0.0162985,10.6588,5.76164
0.063985,2.87631,2.8766,9.58738e-05,-0.0162985,10.6235,5.76622
0.072098,2.87631,2.8766,9.58738e-05,-0.0162985,10.6471,5.76622
0.08006,2.87631,2.8766,9.58738e-05,-0.0162985,10.0941,5.77538
0.088052,2.87631,2.8766,9.58738e-05,-0.0162985,10.0588,5.78912
0.095979,2.87631,2.8766,9.58738e-05,-0.0162985,9.77647,5.77538
0.104103,2.87631,2.8766,9.58738e-05,-0.0162985,9.74118,5.77996
0.112067,2.87631,2.8766,9.58738e-05,-0.0162985,9.47059,5.76164
0.119985,2.87631,2.8766,9.58738e-05,-0.0162985,9.50588,5.7708
0.127976,2.87631,2.8766,9.58738e-05,-0.0162985,9.44706,5.75248
0.136145,2.87631,2.8766,9.58738e-05,-0.0162985,9.45882,5.74332
0.143992,2.87631,2.8766,0,-0.0162985,9.23529,5.73416
0.151986,2.87631,2.8766,0,-0.0162985,9.2,5.73416
0.159983,2.87631,2.8766,0,-0.0162985,9.2,5.75248
0.168057,2.87631,2.8766,0,-0.0162985,9.18824,5.75706
0.175988,2.87631,2.8766,0,-0.0162985,8.68235,5.75248
0.184091,2.87631,2.8766,0,-0.0162985,8.61176,5.7708
0.191986,2.87631,2.8766,0,-0.0162985,8.37647,5.77996
0.200055,2.87631,2.8766,0,-0.0162985,8.36471,5.77996
0.207994,2.87631,2.8766,0,-0.0162985,8.34118,5.77996
0.215986,2.87631,2.8766,0,-0.0162985,8.11765,5.77996
0.223984,2.87631,2.8766,0,-0.0162985,7.88235,5.76622
0.232065,2.87631,2.8766,0,-0.0162985,7.82353,5.7479
0.242083,2.87631,2.8766,0,-0.0162985,7.78824,5.73416
0.250145,2.87631,2.8766,0,-0.0162985,7.52941,5.72958
0.259157,2.87631,2.8766,0,-0.0162985,7.31765,5.725
0.267042,2.87631,2.8766,0,-0.0162027,6.92941,5.72042
0.275067,2.87631,2.8766,-0.000191748,-0.0162027,6.63529,5.71584
0.282986,2.87631,2.8766,-0.000287621,-0.0162027,6.62353,5.71584
0.29107,2.87631,2.8766,-0.000479369,-0.0162027,6.38824,5.72958
0.299083,2.87631,2.8766,-0.000575243,-0.0162027,6.35294,5.72958
0.306991,2.87621,2.8766,-0.00105461,-0.0162027,6,5.71584
0.315081,2.87621,2.8765,-0.00335558,-0.0162027,5.76471,5.68836
0.323023,2.87612,2.8765,-0.00536893,-0.0162027,5.76471,5.6563
0.331031,2.87612,2.87641,-0.00594418,-0.0161068,5.62353,5.64256
0.338986,2.87602,2.87641,-0.00575243,-0.0162027,5.48235,5.64714
0.34849,2.87602,2.87631,-0.00536893,-0.0161068,3.15294,5.64256
0.356044,2.87583,2.87621,-0.0218592,-0.0160109,4.87059,5.50974
0.363988,2.87564,2.87602,-0.0248313,-0.0159151,4.47059,5.44104
0.371987,2.87545,2.87583,-0.0269405,-0.0158192,4.02353,5.34944
0.380115,2.87526,2.87564,-0.0242561,-0.0157233,3.55294,5.3357
0.388011,2.87506,2.87545,-0.0209005,-0.0156274,3.25882,5.33112
0.395994,2.87487,2.87526,-0.0203252,-0.0156274,3.43529,5.36318
0.403992,2.87468,2.87506,-0.022051,-0.0155316,3.47059,5.37234
0.412176,2.87449,2.87487,-0.0267488,-0.0155316,4.07059,5.37692
0.419987,2.8743,2.87468,-0.0252148,-0.0155316,3.89412,5.39982
0.427984,2.8741,2.87449,-0.0239685,-0.0155316,3.89412,5.43188
0.435994,2.87391,2.8743,-0.0242561,-0.0154357,3.84706,5.46852
0.44406,2.87372,2.87401,-0.0257901,-0.0154357,1.91765,5.48226
0.451989,2.87353,2.87382,-0.0274199,-0.0155316,3.31765,5.50974
0.459985,2.87334,2.87363,-0.0247354,-0.0154357,3.43529,5.53264
0.467988,2.87315,2.87343,-0.0239685,-0.0154357,3.45882,5.57844
0.476058,2.87295,2.87324,-0.023585,-0.0154357,3.15294,5.6105
0.483988,2.87276,2.87305,-0.0257901,-0.0154357,3.51765,5.6105
0.491985,2.87257,2.87286,-0.0225303,-0.0154357,3.05882,5.62424
0.499982,2.87238,2.87267,-0.0200376,-0.0154357,2.98824,5.64714
0.508097,2.87219,2.87247,-0.0206129,-0.0153398,3,5.65172
0.516096,2.87209,2.87228,-0.0217634,-0.0153398,3.08235,5.6334
0.524316,2.8718,2.87209,-0.0277075,-0.0153398,4.91765,5.56928
0.533774,2.87161,2.8719,-0.0251189,-0.0152439,4.52941,5.55554
0.541059,2.87142,2.87171,-0.0233932,-0.0152439,4.48235,5.52348
0.548987,2.87123,2.87142,-0.0285704,-0.0151481,4.29412,5.47768
0.556983,2.87094,2.87123,-0.036432,-0.0150522,4.63529,5.41814
0.56505,2.87065,2.87094,-0.0290498,-0.0150522,3.83529,5.41356
0.573067,2.87046,2.87075,-0.0251189,-0.0149563,3.6,5.43188
0.580976,2.87027,2.87046,-0.0244478,-0.0149563,3.54118,5.46852
0.588975,2.87008,2.87027,-0.0285704,-0.0148604,3.23529,5.46852
0.597045,2.86989,2.87008,-0.0248313,-0.0149563,2.94118,5.50058
0.604977,2.86969,2.86979,-0.0232973,-0.0148604,2.87059,5.55096
0.612983,2.8695,2.8696,-0.0239685,-0.0148604,2.94118,5.56928
0.620988,2.86931,2.86941,-0.0295291,-0.0148604,3.4,5.55554
0.629052,2.86902,2.86912,-0.0308714,-0.0148604,3.45882,5.51432
